phase,case,total,class_read,class_compute,class_stall,cutoff,dfl_scan,dfl_read,dfl_compute,sort,nms,result,candidates
P0,image025_class_zero_dfl,73975,15750,63000,47241,94,6301,20,4160,53,31,1,10
P0,dense256,185405,15750,63000,47241,1,6301,512,106496,3347,4202,10,256
P0,empty,69662,15750,63000,47241,94,6301,0,0,0,1,0,0
P1,image025_class_zero_dfl,42479,15750,31500,15747,94,6301,20,4160,53,31,1,10
P1,dense256,153909,15750,31500,15747,1,6301,512,106496,3347,4202,10,256
P1,empty,38166,15750,31500,15747,94,6301,0,0,0,1,0,0
P2,image025_class_zero_dfl,42541,15750,31500,15747,94,6301,20,4160,114,31,1,10
P2,dense256,151169,15750,31500,15747,1,6301,512,106496,606,4202,10,256
P2,empty,38261,15750,31500,15747,94,6301,0,0,94,1,0,0
P3,image025_class_zero_dfl,42581,15750,31500,15747,94,6301,20,4160,114,31,1,10
P3,dense256,152193,15750,31500,15747,1,6301,512,106496,606,4202,10,256
P3,empty,38261,15750,31500,15747,94,6301,0,0,94,1,0,0
P4,image025_class_zero_dfl,42578,15750,31500,15747,94,6301,20,4160,114,27,1,10
P4,dense256,150176,15750,31500,15747,1,6301,512,106496,606,2184,10,256
P4,empty,38262,15750,31500,15747,94,6301,0,0,94,1,0,0
P5,image025_class_zero_dfl,39458,15750,31500,15747,94,6301,20,1040,114,27,1,10
P5,dense256,70304,15750,31500,15747,1,6301,512,26624,606,2184,10,256
P5,empty,38262,15750,31500,15747,94,6301,0,0,94,1,0,0
P5_divider,image025_class_zero_dfl,38978,15750,31500,15747,94,6301,20,560,114,27,1,10
P5_divider,dense256,58016,15750,31500,15747,1,6301,512,14336,606,2184,10,256
P5_divider,empty,38262,15750,31500,15747,94,6301,0,0,94,1,0,0
P1_5,image025_class_zero_dfl,23230,15750,15750,0,94,6301,20,560,114,27,1,10
P1_5,dense256,42268,15750,15750,0,1,6301,512,14336,606,2184,10,256
P1_5,empty,22514,15750,15750,0,94,6301,0,0,94,1,0,0
