category,failed_endpoints,wns_ns,rounded_tns_ns
batch_preprocess,343,-0.609,-74.41200000000013
camera_axis_cdc,1153,-1.291,-445.28500000000105
camera_stream,2927,-1.158,-1229.6920000000011
ddr_frame_reader,6668,-0.923,-2384.5820000000253
ddr_video_writer,1662,-1.069,-570.3440000000022
frame_manager,1811,-0.617,-255.9019999999995
hdmi_rx,361,-0.493,-48.52399999999998
mig_ddr_ip,1998,-0.862,-388.4090000000007
other,51,-0.4,-5.379000000000003
pclk_recovery_frontend,3826,-0.926,-856.4080000000009
