endpoint_pin_type,failed_endpoints
CE,12409
R,4427
D,1568
WE,654
I,510
ENBWREN,307
REGCEB,242
WADR5,144
S,130
WADR1,88
WADR0,64
ENARDEN,55
WEA[0],48
WEA[1],34
WEA[2],33
WADR3,16
ADDRBWRADDR[6],12
ADDRBWRADDR[8],6
ADDRARDADDR[6],5
ADDRARDADDR[9],4
ADDRARDADDR[12],4
ADDRBWRADDR[9],3
ADDRARDADDR[11],3
ADDRARDADDR[3],2
ADDRARDADDR[7],2
ADDRBWRADDR[7],2
ADDRBWRADDR[11],2
ADDRBWRADDR[12],1
A[7],1
A[8],1
DINADIN[4],1
ADDRARDADDR[5],1
A[0],1
RSTREGB,1
DINADIN[17],1
A[6],1
ADDRARDADDR[10],1
WEBWE[1],1
ADDRARDADDR[1],1
WEBWE[2],1
WEBWE[3],1
A[3],1
WEBWE[6],1
WEBWE[0],1
WEBWE[7],1
A[9],1
DINADIN[8],1
DINADIN[14],1
WEBWE[5],1
WEBWE[4],1
ADDRBWRADDR[10],1
ADDRBWRADDR[1],1
A[4],1
