slack	requirement	datapath_delay	logic_levels	startpoint	endpoint	endpoint_pin_type	start_clock	end_clock	start_slr	end_slr
-1.291	3.332	4.153	3	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_11/REGCEB	REGCEB	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.287	3.332	3.973	2	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_12/ENBWREN	ENBWREN	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.285	3.332	4.050	3	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_6/REGCEB	REGCEB	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.279	3.332	4.105	2	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_1/ENBWREN	ENBWREN	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.274	3.332	4.040	3	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_4/REGCEB	REGCEB	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.250	3.332	4.019	2	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_23/ENBWREN	ENBWREN	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.247	3.332	4.007	2	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_17/ENBWREN	ENBWREN	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.245	3.332	3.864	3	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[5].u_fifo/u_fifo/xpm_fifo_base_inst/gen_pntr_flags_cc.ngen_full_rst_val.ram_full_i_reg/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[5].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_15/ENBWREN	ENBWREN	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.243	3.332	4.072	2	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_21/ENBWREN	ENBWREN	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
-1.242	3.332	3.995	3	u_ddr_memory/u_video_framebuffer/u_writer/g_channels[2].u_fifo/pack_count_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].u_camera_cdc/u_fifo/gnuram_async_fifo.xpm_fifo_base_inst/gen_sdpram.xpm_memory_base_inst/gen_wr_a.gen_word_narrow.mem_reg_9/REGCEB	REGCEB	mmcm_clkout0	mmcm_clkout0	SLR1	SLR1
