slack	requirement	datapath_delay	logic_levels	startpoint	endpoint	endpoint_pin_type	start_clock	end_clock	start_slr	end_slr
-0.182	3.332	3.332	0	u_ddr_memory/ddr_reset_sync_reg[2]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].capture_resetn_local_sync_reg[0]/D	D	mmcm_clkout0	mmcm_clkout0	SLR1	SLR2
-0.138	3.332	3.022	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[0].u_camera/dvp_data_sync_reg[2]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR3
-0.135	3.332	3.047	0	u_ddr_memory/ddr_reset_sync_reg[2]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[2].capture_resetn_local_sync_reg[0]/D	D	mmcm_clkout0	mmcm_clkout0	SLR1	SLR2
-0.128	3.332	3.228	0	u_ddr_memory/ddr_reset_sync_reg[2]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[3].capture_resetn_local_sync_reg[0]/D	D	mmcm_clkout0	mmcm_clkout0	SLR1	SLR2
-0.107	3.332	3.487	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[1234]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.087	3.332	3.476	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[1213]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.087	3.332	3.476	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[1243]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.087	3.332	3.476	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[1245]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.087	3.332	3.476	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[1246]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.083	3.332	3.013	0	u_ddr_memory/ddr_reset_sync_reg[2]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[0]/D	D	mmcm_clkout0	mmcm_clkout0	SLR1	SLR2
-0.073	3.332	3.460	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[1242]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
-0.073	3.332	3.460	0	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].capture_resetn_local_sync_reg[1]/C	u_camera_hdmi/u_camera_subsystem/g_camera_frontend[1].u_camera/pclk_snapshot_video_reg[156]/R	R	mmcm_clkout0	mmcm_clkout0	SLR2	SLR2
